"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"GH","Guardant Health Inc","Common stocks","Mid cap","Health Care","$2,770,898,371","0.00%","USA","Analyze"
"TNDM","Tandem Diabetes Care Inc","Common stocks","Mid cap","Health Care","$2,767,419,706","0.00%","USA","Analyze"
"AMED","Amedisys Inc","Common stocks","Mid cap","Health Care","$2,725,427,953","0.00%","USA","Analyze"
"PACW","Pacwest Bancorp","Common stocks","Mid cap","Financials","$2,703,697,479","4.30%","USA","Analyze"
"W","Wayfair Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$2,698,609,289","0.00%","USA","Analyze"
"SMG","Scotts Miracle Gro","Common stocks","Mid cap","Materials","$2,695,585,441","5.40%","USA","Analyze"
"PK","Park Hotels & Resorts Inc","REITs","Mid cap","Real Estate","$2,621,672,050","2.40%","USA","Analyze"
"JAMF","Jamf Holding Corp.","Common stocks","Mid cap","Information Technology","$2,601,330,632","0.00%","USA","Analyze"
"CPA","Copa Holdings SA Class A","Common stocks","Mid cap","Industrials","$2,582,513,398","7.51%","USA","Analyze"
"CERT","Certara, Inc.","Common stocks","Mid cap","Health Care","$2,580,315,632","0.00%","USA","Analyze"
"JWN","Nordstrom Inc","Common stocks","Mid cap","Consumer Discretionary","$2,575,708,487","4.66%","USA","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Common stocks","Mid cap","Consumer Discretionary","$2,536,358,290","0.00%","USA","Analyze"
"KD","Kyndryl Holdings, Inc.","Common stocks","Mid cap","Information Technology","$2,530,977,103","0.00%","USA","Analyze"
"MRCY","Mercury Systems Inc","Common stocks","Mid cap","Industrials","$2,520,496,232","0.00%","USA","Analyze"
"FRPT","Freshpet Inc","Common stocks","Mid cap","Consumer Staples","$2,502,325,848","0.00%","USA","Analyze"
"SPB","Spectrum Brands Holdings Inc","Common stocks","Mid cap","Consumer Staples","$2,497,823,805","2.73%","USA","Analyze"
"MRTX","Mirati Therapeutics Inc","Common stocks","Mid cap","Health Care","$2,457,232,212","0.00%","USA","Analyze"
"VSAT","Viasat Inc","Common stocks","Mid cap","Information Technology","$2,400,641,659","0.00%","USA","Analyze"
"SHC","Sotera Health Co","Common stocks","Mid cap","Health Care","$2,333,078,637","0.00%","USA","Analyze"
"TRIP","TripAdvisor Inc","Common stocks","Mid cap","Communication Services","$2,282,259,067","0.00%","USA","Analyze"
"SNDR","Schneider National Inc Class B","Common stocks","Mid cap","Industrials","$2,266,289,131","1.33%","USA","Analyze"
"AFRM","Affirm Holdings, Inc.","Common stocks","Mid cap","Information Technology","$2,222,247,326","0.00%","USA","Analyze"
"LESL","Leslies, Inc.","Common stocks","Mid cap","Consumer Discretionary","$2,217,227,756","0.00%","USA","Analyze"
"AMC","AMC Entertainment Holdings Inc Class A","Common stocks","Mid cap","Communication Services","$2,201,305,196","0.00%","USA","Analyze"
"HBI","Hanesbrands Inc","Common stocks","Mid cap","Consumer Discretionary","$2,184,418,799","9.33%","USA","Analyze"
"SLG","SL Green Realty Corp","REITs","Mid cap","Real Estate","$2,171,309,882","10.51%","USA","Analyze"
"JBGS","JBG Smith Properties","REITs","Mid cap","Real Estate","$2,149,454,073","5.88%","USA","Analyze"
"WOOF","Petco Health and Wellness Company, Inc. - Class A","Common stocks","Mid cap","Consumer Discretionary","$2,148,977,582","0.00%","USA","Analyze"
"JBLU","Jetblue Airways Corp","Common stocks","Mid cap","Industrials","$2,089,010,610","0.00%","USA","Analyze"
"ATUS","Altice USA, Inc. Class A","Common stocks","Mid cap","Communication Services","$2,068,741,347","0.00%","USA","Analyze"
"VIRT","Virtu Financial Inc Class A","Common stocks","Mid cap","Financials","$2,063,894,772","4.58%","USA","Analyze"
"QS","QuantumScape Corporation Class A","Common stocks","Mid cap","Consumer Discretionary","$2,007,113,022","0.00%","USA","Analyze"
"HAYW","Hayward Holdings, Inc.","Common stocks","Small cap","Industrials","$1,996,563,473","0.00%","USA","Analyze"
"SIX","Six Flags Entertainment Corp","Common stocks","Small cap","Consumer Discretionary","$1,919,252,112","0.00%","USA","Analyze"
"MRVI","Maravai LifeSciences Holdings, Inc","Common stocks","Small cap","Health Care","$1,854,708,952","0.00%","USA","Analyze"
"DNA","Ginkgo Bioworks Holdings, Inc. Class A","Common stocks","Small cap","Materials","$1,831,821,554","0.00%","USA","Analyze"
"COMM","Commscope Holding Inc","Common stocks","Small cap","Information Technology","$1,520,951,613","0.00%","USA","Analyze"
"HPP","Hudson Pacific Properties, Inc","REITs","Small cap","Real Estate","$1,371,183,904","9.96%","USA","Analyze"
"UHAL","Amerco","Common stocks","Small cap","Industrials","$1,185,879,018","0.00%","USA","Analyze"
"DH","Definitive Healthcare Corp.","Common stocks","Small cap","Health Care","$1,172,693,492","0.00%","USA","Analyze"
"UPST","Upstart Holdings, Inc.","Common stocks","Small cap","Financials","$1,077,505,926","0.00%","USA","Analyze"
"WE","WeWork Inc. Class A","Common stocks","Small cap","Real Estate","$849,667,513","0.00%","USA","Analyze"
"CVNA","Carvana Class A","Common stocks","Small cap","Consumer Discretionary","$840,373,693","0.00%","USA","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Small cap","Consumer Staples","$781,163,093","2.91%","USA","Analyze"
"NVAX","Novavax Inc","Common stocks","Small cap","Health Care","$763,058,413","0.00%","USA","Analyze"
"OPEN","Opendoor Technologies Inc","Common stocks","Small cap","Real Estate","$716,648,747","0.00%","USA","Analyze"
"EHAB","Enhabit, Inc.","Common stocks","Small cap","Health Care","$650,497,250","0.00%","USA","Analyze"
"UWMC","UWM Holdings Corporation Class A","Common stocks","Small cap","Financials","$315,682,629","11.30%","USA","Analyze"
"MBC","MasterBrand, Inc.","Common stocks","Unknown","Industrials","$0","0.00%","USA","Analyze"
"FG","F&G Annuities & Life, Inc.","Common stocks","Unknown","Financials","$0","0.00%","USA","Analyze"
