"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$54,757,524,687","0.98%","USA","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$54,449,015,578","2.12%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$53,833,123,694","1.23%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$53,228,283,296","0.00%","USA","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$53,189,570,218","0.54%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$52,792,793,074","0.00%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$52,763,562,922","0.00%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","Common stocks","Large cap","Financials","$52,458,122,275","6.49%","USA","Analyze"
"VMW","VMWare Inc Class A","Common stocks","Large cap","Information Technology","$51,906,290,193","0.00%","USA","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$51,832,776,000","0.98%","USA","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$51,363,083,636","4.27%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$51,154,003,218","1.71%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$50,744,284,330","2.11%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$49,830,159,072","3.87%","USA","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$49,751,352,300","2.46%","USA","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$49,631,895,681","2.75%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$49,336,051,725","3.26%","USA","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$49,205,739,695","3.63%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$49,075,288,124","0.00%","USA","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$48,998,284,624","2.91%","USA","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$48,699,300,477","3.07%","USA","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$47,834,910,000","1.65%","USA","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$47,834,860,818","0.53%","USA","Analyze"
"SCCO","Southern Copper Corp","Common stocks","Large cap","Materials","$47,769,754,400","5.53%","Peru","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$47,275,818,036","2.00%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$46,838,366,536","0.67%","USA","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$46,499,372,130","0.00%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$46,401,135,345","0.92%","USA","Analyze"
"UBER","Uber Technologies, Inc.","Common stocks","Large cap","Industrials","$46,355,169,531","0.00%","USA","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$46,330,960,831","0.57%","USA","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$46,317,414,981","3.34%","USA","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$46,274,742,112","0.00%","USA","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$46,245,744,299","0.00%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","Common stocks","Large cap","Information Technology","$45,789,408,000","0.00%","USA","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,596,143,655","1.05%","USA","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$45,578,868,945","4.28%","USA","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$44,818,519,405","2.20%","USA","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$44,733,524,524","0.55%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,419,989,880","0.00%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$44,394,795,136","1.92%","USA","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$44,308,317,927","2.37%","USA","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$44,264,932,685","2.15%","USA","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$43,428,330,521","1.06%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$43,287,948,069","0.00%","USA","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$43,273,862,521","1.25%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,860,093,754","3.09%","USA","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$42,140,738,160","0.98%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$42,115,419,097","0.00%","USA","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$42,071,952,743","1.39%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$41,979,934,180","2.58%","USA","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,317,122,382","1.43%","USA","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$40,796,518,589","5.94%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$40,590,180,971","0.00%","USA","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$40,290,465,062","2.74%","USA","Analyze"
"KKR","KKR & Co Inc.","Common stocks","Large cap","Financials","$40,188,615,173","0.66%","USA","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$40,168,664,129","5.06%","USA","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$40,156,661,720","4.55%","USA","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$40,095,442,800","1.07%","USA","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$39,901,848,000","4.19%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$39,898,825,103","1.07%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$39,744,387,504","0.00%","USA","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$39,348,641,615","2.15%","USA","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$39,251,272,457","1.56%","USA","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$38,946,776,304","0.00%","USA","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$38,940,016,698","2.48%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$38,778,380,212","0.00%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$38,748,113,620","1.63%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$38,619,326,363","2.74%","USA","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$38,598,634,180","0.00%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$38,444,624,101","0.00%","USA","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$38,357,280,200","5.75%","USA","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$37,855,512,130","1.34%","USA","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$37,733,857,699","0.97%","USA","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$37,591,466,300","4.57%","USA","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$37,494,473,452","1.70%","USA","Analyze"
"LNG","Cheniere Energy Inc","Common stocks","Large cap","Energy","$37,264,098,583","0.92%","USA","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$37,243,190,438","0.00%","USA","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$37,155,360,000","4.72%","USA","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$36,906,062,471","3.07%","USA","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$36,616,605,701","1.74%","USA","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$36,179,890,085","2.47%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$36,086,349,130","0.00%","USA","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$35,976,947,521","0.00%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$35,645,406,975","5.42%","USA","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$35,372,006,667","2.55%","USA","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$35,295,778,222","1.23%","USA","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$34,997,544,403","1.51%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$34,286,405,219","1.36%","USA","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$34,263,977,908","1.50%","USA","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$34,240,716,204","3.23%","USA","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$34,168,996,126","0.00%","USA","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$34,151,275,679","1.11%","USA","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$34,089,359,739","2.47%","USA","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$34,088,276,383","0.36%","USA","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$34,069,786,054","1.91%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$33,986,422,814","0.00%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$33,942,574,934","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$33,893,580,000","0.00%","USA","Analyze"
"SQ","Square Inc Class A","Common stocks","Large cap","Information Technology","$33,814,439,030","0.00%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$33,734,243,792","0.60%","USA","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$33,235,155,420","1.55%","USA","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$32,939,461,108","1.40%","USA","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$32,708,027,624","0.00%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$32,516,600,000","0.00%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$32,311,663,598","5.02%","USA","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$32,236,587,707","0.63%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$32,020,746,625","0.00%","USA","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$31,939,972,063","2.09%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$31,717,972,000","0.00%","USA","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$31,677,170,486","1.16%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","Common stocks","Large cap","Consumer Staples","$31,677,170,486","1.16%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$31,661,823,233","0.42%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$31,587,616,960","0.00%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$31,363,632,000","0.65%","USA","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$31,214,001,254","4.55%","USA","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$31,106,086,790","2.76%","USA","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$30,850,062,672","3.45%","USA","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$30,802,586,104","1.03%","USA","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$30,788,578,212","0.00%","USA","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$30,758,302,121","0.99%","USA","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$30,669,281,801","0.82%","USA","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$30,395,464,274","1.25%","USA","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$30,095,608,603","2.99%","USA","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$29,816,987,184","1.73%","USA","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$29,707,462,602","1.90%","USA","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$29,633,994,953","2.96%","USA","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$29,476,605,880","5.54%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$29,360,331,410","1.88%","USA","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$29,286,871,104","0.00%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$29,222,823,080","2.48%","USA","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$29,126,006,458","4.74%","USA","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$28,746,091,116","2.95%","USA","Analyze"
"GFS","GlobalFoundries Inc","Common stocks","Large cap","Information Technology","$28,618,619,485","0.00%","USA","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$28,408,562,244","1.20%","USA","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$28,375,342,749","0.65%","USA","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$28,143,318,338","1.65%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$27,846,438,377","0.69%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,240,459,893","2.58%","USA","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$27,117,282,263","0.00%","USA","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$27,049,047,804","3.34%","USA","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$26,994,265,496","5.57%","USA","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$26,885,674,564","0.00%","USA","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$26,825,431,269","0.75%","USA","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$26,823,793,683","1.00%","USA","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$26,801,632,035","3.01%","USA","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$26,625,850,799","2.34%","USA","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$26,557,222,324","3.70%","USA","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$26,544,194,174","1.33%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","Common stocks","Large cap","Consumer Discretionary","$25,824,967,751","1.99%","USA","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$25,824,967,751","1.64%","USA","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$25,770,653,200","2.23%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$25,723,802,492","0.00%","USA","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$25,477,218,111","0.72%","USA","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$25,417,780,006","0.00%","Ireland","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$25,110,063,006","3.27%","USA","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$25,072,947,350","1.61%","USA","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$24,878,337,520","4.24%","USA","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$24,867,765,069","2.27%","USA","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$24,737,114,799","2.03%","USA","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$24,688,374,017","0.00%","USA","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$24,592,729,006","4.33%","USA","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$24,501,809,122","0.00%","USA","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$24,351,422,023","1.16%","USA","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$24,307,661,700","3.24%","USA","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$24,296,396,197","2.05%","USA","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$24,156,572,489","3.64%","USA","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$24,095,642,393","0.79%","USA","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$23,985,086,074","2.03%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$23,833,803,341","0.00%","USA","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$23,825,472,475","3.21%","USA","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$23,650,908,784","0.00%","USA","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$23,395,595,622","0.91%","USA","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$23,342,686,734","0.00%","USA","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$23,269,580,432","2.60%","USA","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$23,224,717,084","1.25%","USA","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$23,215,450,769","3.51%","USA","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$23,090,170,487","2.99%","USA","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$23,048,920,440","2.28%","USA","Analyze"
"VEEV","Veeva Systems Inc Class A","Common stocks","Large cap","Health Care","$22,995,836,027","0.00%","USA","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,909,084,382","0.43%","USA","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$22,899,774,421","0.00%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$22,825,726,885","0.00%","USA","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$22,754,304,140","3.86%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$22,694,003,018","2.09%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$22,637,106,335","1.53%","USA","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$22,614,668,173","4.09%","USA","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$22,555,670,871","1.77%","USA","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$22,520,658,206","3.79%","USA","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$22,221,537,700","2.99%","USA","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$22,094,761,285","0.84%","USA","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$21,839,200,303","2.92%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$21,773,659,733","0.00%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$21,594,166,057","0.00%","USA","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$21,376,029,973","0.15%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$21,217,055,957","0.00%","USA","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$21,151,815,818","0.74%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Common stocks","Large cap","Communication Services","$21,116,815,112","0.00%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Common stocks","Large cap","Communication Services","$21,116,815,112","0.00%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Common stocks","Large cap","Communication Services","$21,116,815,112","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","Common stocks","Large cap","Communication Services","$21,116,815,112","0.00%","USA","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$20,986,095,088","0.00%","USA","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$20,922,825,373","2.96%","USA","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$20,864,414,000","0.91%","USA","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$20,547,892,041","0.00%","USA","Analyze"
"PODD","Insulet Corp","Common stocks","Large cap","Health Care","$20,490,145,333","0.00%","USA","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$20,406,524,268","2.98%","USA","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$20,400,262,366","4.31%","USA","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$20,391,994,961","0.20%","USA","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$20,373,058,599","2.51%","USA","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,202,714,002","3.38%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Large cap","Communication Services","$20,189,356,877","0.00%","USA","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$20,119,931,832","1.07%","USA","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$19,955,646,887","3.97%","USA","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$19,894,779,748","1.28%","USA","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$19,819,441,894","0.00%","USA","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$19,462,968,000","0.00%","USA","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$19,443,471,102","0.53%","USA","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$19,438,618,428","4.04%","USA","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$19,333,219,447","2.38%","USA","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$19,243,633,104","2.17%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$19,227,951,216","0.00%","United Kingdom","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$19,188,246,033","2.28%","USA","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$19,135,857,543","1.47%","USA","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$19,022,011,021","0.00%","USA","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Common stocks","Large cap","Health Care","$18,999,942,935","0.00%","USA","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$18,718,552,480","0.00%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$18,707,949,060","0.00%","USA","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$18,661,725,678","0.00%","USA","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$18,649,034,420","3.20%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$18,628,347,816","2.84%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$18,587,033,849","0.96%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$18,580,716,621","3.27%","USA","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$18,360,639,567","2.90%","USA","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$18,302,310,264","0.90%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$18,254,077,510","0.60%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$18,215,344,819","2.93%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$18,211,151,397","3.89%","USA","Analyze"
"HEI","Heico Corp","Common stocks","Large cap","Industrials","$18,190,023,198","0.12%","USA","Analyze"
"HEI.A","Heico Corporation Class A","Common stocks","Large cap","Industrials","$18,190,023,198","0.15%","USA","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$18,054,039,504","1.17%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$18,029,828,161","0.20%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$17,975,524,243","4.26%","USA","Analyze"
"TPL","Texas Pacific Land Trust","Common stocks","Large cap","Energy","$17,961,953,795","0.51%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$17,943,022,011","2.41%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,898,015,063","3.95%","United Kingdom","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$17,856,415,794","1.65%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$17,837,921,806","0.00%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$17,794,079,540","0.70%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$17,692,403,233","0.31%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$17,682,350,197","0.00%","USA","Analyze"
